worker_id,success,failed,timeouts,channelsOpened,channelsReused,channelsClosed,requestsRegistered,requestCompleted,channelConnected,channelConnectionErrors,requestDurationMs,connectDurationMs
0,62500,0,0,1,62499,0,62500,62500,1,0,30736,0
1,62500,0,0,1,62499,0,62500,62500,1,0,30724,0
2,62500,0,0,1,62499,0,62500,62500,1,0,30669,0
3,62500,0,0,1,62499,0,62500,62500,1,0,30670,0
4,62500,0,0,1,62499,0,62500,62500,1,0,30644,0
5,62500,0,0,1,62499,0,62500,62500,1,0,30725,1
6,62500,0,0,1,62499,0,62500,62500,1,0,30779,0
7,62500,0,0,1,62499,0,62500,62500,1,0,30679,0
8,62500,0,0,1,62499,0,62500,62500,1,0,30697,1
9,62500,0,0,1,62499,0,62500,62500,1,0,30706,1
10,62500,0,0,1,62499,0,62500,62500,1,0,30676,0
11,62500,0,0,1,62499,0,62500,62500,1,0,30745,0
12,62500,0,0,1,62499,0,62500,62500,1,0,30695,0
13,62500,0,0,1,62499,0,62500,62500,1,0,30692,1
14,62500,0,0,1,62499,0,62500,62500,1,0,30674,0
15,62500,0,0,1,62499,0,62500,62500,1,0,30676,0
